Ente;Confinanti;Data inizio;Positivi 2020/03/25;Data massimo positivi durante chiusura;Massimo positivi durante chiusura;Data fine chiusura;Positivi fine chiusura;Data inizio zona rossa;Positivi inizio zona rossa;Data massimo positivi seconda ondata;Massimo positivi seconda ondata;Data inizio zona arancione;Positivi inizio zona arancione;Data inizio zona gialla;Positivi inizio zona gialla;Data ultimo giorno;Positivi 2021/01/16;Data massimo positivi;Massimo positivi;Data massima variazione;Massima variazione;Data inizio;Positivi per 1000 abitanti 2020/03/25;Data massimo positivi per 1000 abitanti durante chiusura;Massimo positivi per 1000 abitanti durante chiusura;Data fine chiusura;Positivi per 1000 abitanti fine chiusura;Data inizio zona rossa;Positivi per 1000 abitanti inizio zona rossa;Data massimo positivi per 1000 abitanti seconda ondata;Massimo positivi per 1000 abitanti seconda ondata;Data inizio zona arancione;Positivi per 1000 abitanti inizio zona arancione;Data inizio zona gialla;Positivi per 1000 abitanti inizio zona gialla;Data ultimo giorno;Positivi per 1000 abitanti 2021/01/16;Data massimo positivi per 1000 abitanti;Massimo positivi per 1000 abitanti;Data massima variazione per 1000 abitanti;Massima variazione per 1000 abitanti;Tipo
Cassinasco;Calamandrana,Canelli,Monastero Bormida,Bubbio,Sessame,Rocchetta Palafea;2020/03/25;0;2020/03/25;0;2020/05/18;0;2020/11/03;1;2020/11/27;5;2020/11/27;5;2020/12/12;4;2021/01/16;1;2020/11/27;5;2020/11/27;2;2020/03/25;0.0;2020/03/25;0.0;2020/05/18;0.0;2020/11/03;1.65;2020/11/27;8.24;2020/11/27;8.24;2020/12/12;6.59;2021/01/16;1.65;2020/11/27;8.24;2020/11/27;3.3;COM
Cassine;Castelnuovo Bormida,Gamalero,Maranzana,Strevi,Rivalta Bormida,Sezzadio,Mombaruzzo,Ricaldone,Alice Bel Colle;2020/03/25;2;2020/04/09;11;2020/05/18;3;2020/11/03;21;2020/11/19;58;2020/11/27;36;2020/12/12;22;2021/01/16;4;2020/11/19;58;2020/11/19;17;2020/03/25;0.68;2020/04/09;3.74;2020/05/18;1.02;2020/11/03;7.14;2020/11/19;19.71;2020/11/27;12.23;2020/12/12;7.48;2021/01/16;1.36;2020/11/19;19.71;2020/11/19;5.78;COM
Cassinelle;Molare,Ponzone,Morbello,Cremolino;2020/03/25;0;2020/05/08;2;2020/05/18;2;2020/11/03;10;2020/11/04;9;2020/11/27;1;2020/12/12;1;2021/01/16;0;2020/11/01;10;2020/10/22;3;2020/03/25;0.0;2020/05/08;2.27;2020/05/18;2.27;2020/11/03;11.35;2020/11/04;10.22;2020/11/27;1.14;2020/12/12;1.14;2021/01/16;0.0;2020/11/01;11.35;2020/10/22;3.4;COM
Castagneto Po;Rivalba,San Raffaele Cimena,Casalborgone,San Sebastiano da Po,Chivasso;2020/03/25;0;2020/04/26;4;2020/05/18;0;2020/11/03;20;2020/11/27;29;2020/11/27;29;2020/12/12;9;2021/01/16;22;2020/11/27;29;2020/11/19;10;2020/03/25;0.0;2020/04/26;2.24;2020/05/18;0.0;2020/11/03;11.22;2020/11/27;16.27;2020/11/27;16.27;2020/12/12;5.05;2021/01/16;12.35;2020/11/27;16.27;2020/11/19;5.61;COM
Castagnito;Castellinaldo d'Alba,Barbaresco,Magliano Alfieri,Guarene,Vezza d'Alba,Neive;2020/03/25;1;2020/04/05;4;2020/05/18;1;2020/11/03;17;2020/11/26;35;2020/11/27;31;2020/12/12;15;2021/01/16;10;2020/11/26;35;2020/10/27;6;2020/03/25;0.46;2020/04/05;1.82;2020/05/18;0.46;2020/11/03;7.75;2020/11/26;15.95;2020/11/27;14.13;2020/12/12;6.84;2021/01/16;4.56;2020/11/26;15.95;2020/10/27;2.74;COM
Castagnole Monferrato;Refrancore,Portacomaro,Montemagno,Castello di Annone,Calliano,Grana,Asti,Scurzolengo;2020/03/25;3;2020/05/13;4;2020/05/18;1;2020/11/03;5;2020/12/16;16;2020/11/27;8;2020/12/12;14;2021/01/16;2;2020/12/16;16;2020/12/02;4;2020/03/25;2.52;2020/05/13;3.36;2020/05/18;0.84;2020/11/03;4.21;2020/12/16;13.46;2020/11/27;6.73;2020/12/12;11.77;2021/01/16;1.68;2020/12/16;13.46;2020/12/02;3.36;COM
Castagnole Piemonte;Carignano,None,Cercenasco,Osasio,Virle Piemonte,Piobesi Torinese,Scalenghe;2020/03/25;0;2020/04/01;2;2020/05/18;0;2020/11/03;28;2020/11/11;47;2020/11/27;33;2020/12/12;16;2021/01/16;12;2020/11/11;47;2020/11/01;7;2020/03/25;0.0;2020/04/01;0.89;2020/05/18;0.0;2020/11/03;12.48;2020/11/11;20.94;2020/11/27;14.71;2020/12/12;7.13;2021/01/16;5.35;2020/11/11;20.94;2020/11/01;3.12;COM
Castagnole delle Lanze;Castiglione Tinella,Coazzolo,Magliano Alfieri,Costigliole d'Asti,Govone,Neive;2020/03/25;1;2020/05/14;35;2020/05/18;22;2020/11/03;15;2020/12/05;46;2020/11/27;43;2020/12/12;40;2021/01/16;3;2020/12/05;46;2020/05/30;10;2020/03/25;0.27;2020/05/14;9.34;2020/05/18;5.87;2020/11/03;4.0;2020/12/05;12.27;2020/11/27;11.47;2020/12/12;10.67;2021/01/16;0.8;2020/12/05;12.27;2020/05/30;2.66;COM
Castel Boglione;Fontanile,Calamandrana,Montabone,Castel Rocchero,Nizza Monferrato,Rocchetta Palafea;2020/03/25;2;2020/03/25;2;2020/05/18;0;2020/11/03;1;2020/12/16;3;2020/11/27;2;2020/12/12;1;2021/01/16;1;2020/10/23;6;2020/10/12;3;2020/03/25;3.28;2020/03/25;3.28;2020/05/18;0.0;2020/11/03;1.64;2020/12/16;4.93;2020/11/27;3.28;2020/12/12;1.64;2021/01/16;1.64;2020/10/23;9.85;2020/10/12;4.93;COM
Castel Rocchero;Fontanile,Montabone,Castel Boglione,Alice Bel Colle,Acqui Terme,Castelletto Molina;2020/03/25;3;2020/04/11;4;2020/05/18;1;2020/11/03;5;2020/11/22;20;2020/11/27;17;2020/12/12;11;2021/01/16;17;2020/11/22;20;2020/11/22;11;2020/03/25;7.67;2020/04/11;10.23;2020/05/18;2.56;2020/11/03;12.79;2020/11/22;51.15;2020/11/27;43.48;2020/12/12;28.13;2021/01/16;43.48;2020/11/22;51.15;2020/11/22;28.13;COM
Casteldelfino;Oncino,Sampeyre,Elva,Pontechianale,Bellino;2020/03/25;0;2020/04/18;1;2020/05/18;0;2020/11/03;5;2020/11/04;5;2020/11/27;0;2020/12/12;1;2021/01/16;0;2020/11/02;5;2020/04/18;1;2020/03/25;0.0;2020/04/18;6.33;2020/05/18;0.0;2020/11/03;31.65;2020/11/04;31.65;2020/11/27;0.0;2020/12/12;6.33;2021/01/16;0.0;2020/11/02;31.65;2020/04/18;6.33;COM
Castell'Alfero;Villa San Secondo,Tonco,Calliano,Cossombrato,Asti,Corsione,Frinco;2020/03/25;10;2020/04/05;17;2020/05/18;5;2020/11/03;16;2020/11/17;32;2020/11/27;29;2020/12/12;5;2021/01/16;9;2020/11/17;32;2020/10/26;4;2020/03/25;3.74;2020/04/05;6.36;2020/05/18;1.87;2020/11/03;5.99;2020/11/17;11.98;2020/11/27;10.86;2020/12/12;1.87;2021/01/16;3.37;2020/11/17;11.98;2020/10/26;1.5;COM
Castellamonte;Castelnuovo Nigra,Borgiallo,Cintano,Ozegna,Rivarolo Canavese,Vidracco,Baldissero Canavese,Salassa,Issiglio,San Martino Canavese,Val di Chy,Rueglio,Colleretto Castelnuovo,CuorgnÃ¨,Bairo,Quagliuzzo,Parella,Valperga,Torre Canavese,Valchiusa;2020/03/25;5;2020/04/28;45;2020/05/18;26;2020/11/03;93;2020/11/17;213;2020/11/27;184;2020/12/12;105;2021/01/16;19;2020/11/17;213;2020/11/13;33;2020/03/25;0.5;2020/04/28;4.52;2020/05/18;2.61;2020/11/03;9.35;2020/11/17;21.42;2020/11/27;18.5;2020/12/12;10.56;2021/01/16;1.91;2020/11/17;21.42;2020/11/13;3.32;COM
Castellania Coppi;Avolasca,Carezzano,Garbagna,Costa Vescovato,Sardigliano,Sant'Agata Fossili;2020/03/25;0;2020/03/25;0;2020/05/18;0;2020/11/03;0;2020/11/04;0;2020/11/27;0;2020/12/12;0;2021/01/16;0;2020/03/25;0;2020/03/25;0;2020/03/25;0.0;2020/03/25;0.0;2020/05/18;0.0;2020/11/03;0.0;2020/11/04;0.0;2020/11/27;0.0;2020/12/12;0.0;2021/01/16;0.0;2020/03/25;0.0;2020/03/25;0.0;COM
Castellar Guidobono;Viguzzolo,Casalnoceto,Volpeglino;2020/03/25;2;2020/04/05;3;2020/05/18;0;2020/11/03;2;2021/01/09;7;2020/11/27;2;2020/12/12;1;2021/01/16;5;2021/01/09;7;2021/01/07;3;2020/03/25;5.03;2020/04/05;7.54;2020/05/18;0.0;2020/11/03;5.03;2021/01/09;17.59;2020/11/27;5.03;2020/12/12;2.51;2021/01/16;12.56;2021/01/09;17.59;2021/01/07;7.54;COM
Castellazzo Bormida;Oviglio,Gamalero,Frugarolo,Casal Cermelli,Frascaro,Borgoratto Alessandrino,Predosa,Castelspina,Alessandria;2020/03/25;15;2020/05/04;84;2020/05/18;60;2020/11/03;12;2020/12/13;63;2020/11/27;53;2020/12/12;61;2021/01/16;5;2020/05/04;84;2020/04/18;31;2020/03/25;3.31;2020/05/04;18.56;2020/05/18;13.26;2020/11/03;2.65;2020/12/13;13.92;2020/11/27;11.71;2020/12/12;13.48;2021/01/16;1.1;2020/05/04;18.56;2020/04/18;6.85;COM
Castellazzo Novarese;Mandello Vitta,Briona,Casaleggio Novara,Sillavengo;2020/03/25;0;2020/03/25;0;2020/05/18;0;2020/11/03;1;2020/12/05;2;2020/11/27;0;2020/12/12;0;2021/01/16;0;2020/12/05;2;2020/12/05;2;2020/03/25;0.0;2020/03/25;0.0;2020/05/18;0.0;2020/11/03;3.13;2020/12/05;6.27;2020/11/27;0.0;2020/12/12;0.0;2021/01/16;0.0;2020/12/05;6.27;2020/12/05;6.27;COM
Castellero;Villafranca d'Asti,Monale,Baldichieri d'Asti;2020/03/25;0;2020/04/27;2;2020/05/18;1;2020/11/03;1;2020/11/13;3;2020/11/27;1;2020/12/12;0;2021/01/16;0;2020/11/13;3;2020/04/24;1;2020/03/25;0.0;2020/04/27;6.9;2020/05/18;3.45;2020/11/03;3.45;2020/11/13;10.34;2020/11/27;3.45;2020/12/12;0.0;2021/01/16;0.0;2020/11/13;10.34;2020/04/24;3.45;COM
Castelletto Cervo;Masserano,Gifflenga,Lessona,Buronzo,Mottalciata;2020/03/25;0;2020/03/25;0;2020/05/18;0;2020/11/03;6;2020/11/19;15;2020/11/27;12;2020/12/12;4;2021/01/16;0;2020/11/19;15;2020/10/30;3;2020/03/25;0.0;2020/03/25;0.0;2020/05/18;0.0;2020/11/03;7.32;2020/11/19;18.29;2020/11/27;14.63;2020/12/12;4.88;2021/01/16;0.0;2020/11/19;18.29;2020/10/30;3.66;COM
Castelletto Merli;Cerrina Monferrato,Moncalvo,Odalengo Piccolo,Mombello Monferrato,Ponzano Monferrato,Alfiano Natta;2020/03/25;0;2020/04/19;3;2020/05/18;2;2020/11/03;5;2021/01/07;6;2020/11/27;3;2020/12/12;1;2021/01/16;5;2021/01/07;6;2021/01/07;3;2020/03/25;0.0;2020/04/19;6.7;2020/05/18;4.46;2020/11/03;11.16;2021/01/07;13.39;2020/11/27;6.7;2020/12/12;2.23;2021/01/16;11.16;2021/01/07;13.39;2021/01/07;6.69;COM
Castelletto Molina;Quaranti,Castel Rocchero,Fontanile,Alice Bel Colle;2020/03/25;0;2020/03/25;0;2020/05/18;0;2020/11/03;1;2020/11/17;2;2020/11/27;1;2020/12/12;0;2021/01/16;0;2020/11/17;2;2020/11/02;1;2020/03/25;0.0;2020/03/25;0.0;2020/05/18;0.0;2020/11/03;6.41;2020/11/17;12.82;2020/11/27;6.41;2020/12/12;0.0;2021/01/16;0.0;2020/11/17;12.82;2020/11/02;6.41;COM
Castelletto Monferrato;Quargnento,San Salvatore Monferrato,Alessandria;2020/03/25;2;2020/04/19;7;2020/05/18;1;2020/11/03;16;2020/11/18;46;2020/11/27;24;2020/12/12;5;2021/01/16;10;2020/11/18;46;2020/11/08;11;2020/03/25;1.33;2020/04/19;4.66;2020/05/18;0.67;2020/11/03;10.66;2020/11/18;30.65;2020/11/27;15.99;2020/12/12;3.33;2021/01/16;6.66;2020/11/18;30.65;2020/11/08;7.33;COM
Castelletto Stura;Cuneo,Centallo,Morozzo,Montanera;2020/03/25;1;2020/04/07;4;2020/05/18;2;2020/11/03;4;2020/11/24;34;2020/11/27;31;2020/12/12;4;2021/01/16;13;2020/11/24;34;2020/11/19;6;2020/03/25;0.72;2020/04/07;2.9;2020/05/18;1.45;2020/11/03;2.9;2020/11/24;24.64;2020/11/27;22.46;2020/12/12;2.9;2021/01/16;9.42;2020/11/24;24.64;2021/01/10;4.35;COM
Castelletto Uzzone;Gottasecca,Pezzolo Valle Uzzone,Levice,Prunetto;2020/03/25;0;2020/03/25;0;2020/05/18;0;2020/11/03;0;2020/11/25;3;2020/11/27;1;2020/12/12;0;2021/01/16;3;2020/11/25;3;2021/01/12;2;2020/03/25;0.0;2020/03/25;0.0;2020/05/18;0.0;2020/11/03;0.0;2020/11/25;9.55;2020/11/27;3.18;2020/12/12;0.0;2021/01/16;9.55;2020/11/25;9.55;2021/01/12;6.37;COM
Castelletto d'Erro;Montechiaro d'Acqui,Bistagno,Ponti,Cartosio,Melazzo;2020/03/25;1;2020/03/27;2;2020/05/18;0;2020/11/03;1;2020/11/19;2;2020/11/27;0;2020/12/12;0;2021/01/16;0;2020/03/27;2;2020/03/27;1;2020/03/25;6.71;2020/03/27;13.42;2020/05/18;0.0;2020/11/03;6.71;2020/11/19;13.42;2020/11/27;0.0;2020/12/12;0.0;2021/01/16;0.0;2020/03/27;13.42;2020/03/27;6.71;COM
Castelletto d'Orba;Montaldeo,San Cristoforo,Capriata d'Orba,Parodi Ligure,Lerma,Silvano d'Orba;2020/03/25;8;2020/04/06;16;2020/05/18;3;2020/11/03;2;2020/11/14;14;2020/11/27;7;2020/12/12;2;2021/01/16;2;2020/04/06;16;2020/04/02;3;2020/03/25;4.08;2020/04/06;8.16;2020/05/18;1.53;2020/11/03;1.02;2020/11/14;7.14;2020/11/27;3.57;2020/12/12;1.02;2021/01/16;1.02;2020/04/06;8.16;2020/04/02;1.53;COM
Castelletto sopra Ticino;Borgo Ticino,Dormelletto,Comignago,Varallo Pombia;2020/03/25;3;2020/04/18;15;2020/05/18;6;2020/11/03;42;2020/11/23;137;2020/11/27;115;2020/12/12;26;2021/01/16;32;2020/11/23;137;2020/11/16;21;2020/03/25;0.3;2020/04/18;1.51;2020/05/18;0.61;2020/11/03;4.24;2020/11/23;13.82;2020/11/27;11.6;2020/12/12;2.62;2021/01/16;3.23;2020/11/23;13.82;2020/11/16;2.12;COM
Castellinaldo d'Alba;Vezza d'Alba,Priocca,Canale,Magliano Alfieri,Castagnito;2020/03/25;0;2020/04/16;4;2020/05/18;0;2020/11/03;5;2020/11/11;8;2020/11/27;4;2020/12/12;2;2021/01/16;2;2020/11/11;8;2020/11/03;2;2020/03/25;0.0;2020/04/16;4.33;2020/05/18;0.0;2020/11/03;5.41;2020/11/11;8.66;2020/11/27;4.33;2020/12/12;2.16;2021/01/16;2.16;2020/11/11;8.66;2020/11/03;2.16;COM
Castellino Tanaro;Roascio,Rocca CigliÃ¨,Marsaglia,Lesegno,Igliano,Ceva,Niella Tanaro;2020/03/25;0;2020/04/02;1;2020/05/18;0;2020/11/03;2;2020/11/26;7;2020/11/27;7;2020/12/12;1;2021/01/16;0;2020/11/26;7;2020/11/25;4;2020/03/25;0.0;2020/04/02;3.37;2020/05/18;0.0;2020/11/03;6.73;2020/11/26;23.57;2020/11/27;23.57;2020/12/12;3.37;2021/01/16;0.0;2020/11/26;23.57;2020/11/25;13.47;COM
Castello di Annone;Refrancore,Rocca d'Arazzo,Quattordio,Cerro Tanaro,Asti,Castagnole Monferrato,Rocchetta Tanaro;2020/03/25;1;2020/05/06;13;2020/05/18;7;2020/11/03;17;2020/12/15;44;2020/11/27;34;2020/12/12;37;2021/01/16;6;2020/12/15;44;2020/10/03;12;2020/03/25;0.52;2020/05/06;6.74;2020/05/18;3.63;2020/11/03;8.82;2020/12/15;22.82;2020/11/27;17.63;2020/12/12;19.19;2021/01/16;3.11;2020/12/15;22.82;2020/10/03;6.22;COM
Castelmagno;Demonte,Celle di Macra,Pradleves,Marmora,San Damiano Macra,Dronero;2020/03/25;0;2020/03/25;0;2020/05/18;0;2020/11/03;0;2020/11/12;1;2020/11/27;0;2020/12/12;1;2021/01/16;0;2020/11/12;1;2020/11/12;1;2020/03/25;0.0;2020/03/25;0.0;2020/05/18;0.0;2020/11/03;0.0;2020/11/12;16.67;2020/11/27;0.0;2020/12/12;16.67;2021/01/16;0.0;2020/11/12;16.67;2020/11/12;16.67;COM
Castelnuovo Belbo;Bergamasco,Nizza Monferrato,Mombaruzzo,Incisa Scapaccino,Bruno;2020/03/25;0;2020/05/02;1;2020/05/18;0;2020/11/03;2;2020/11/10;13;2020/11/27;3;2020/12/12;3;2021/01/16;1;2020/11/10;13;2020/11/06;6;2020/03/25;0.0;2020/05/02;1.18;2020/05/18;0.0;2020/11/03;2.36;2020/11/10;15.35;2020/11/27;3.54;2020/12/12;3.54;2021/01/16;1.18;2020/11/10;15.35;2020/11/06;7.09;COM
Castelnuovo Bormida;Sezzadio,Rivalta Bormida,Cassine;2020/03/25;2;2020/05/16;3;2020/05/18;3;2020/11/03;1;2020/11/19;12;2020/11/27;11;2020/12/12;3;2021/01/16;2;2020/11/19;12;2020/11/24;3;2020/03/25;2.86;2020/05/16;4.29;2020/05/18;4.29;2020/11/03;1.43;2020/11/19;17.14;2020/11/27;15.71;2020/12/12;4.29;2021/01/16;2.86;2020/11/19;17.14;2020/11/24;4.28;COM
Castelnuovo Calcea;San Marzano Oliveto,Montegrosso d'Asti,Moasca,Mombercelli,Nizza Monferrato,Vinchio,Agliano Terme;2020/03/25;0;2020/05/06;3;2020/05/18;3;2020/11/03;9;2020/11/29;33;2020/11/27;31;2020/12/12;26;2021/01/16;0;2020/11/29;33;2020/11/27;23;2020/03/25;0.0;2020/05/06;4.09;2020/05/18;4.09;2020/11/03;12.28;2020/11/29;45.02;2020/11/27;42.29;2020/12/12;35.47;2021/01/16;0.0;2020/11/29;45.02;2020/11/27;31.38;COM
Castelnuovo Don Bosco;Pino d'Asti,Buttigliera d'Asti,Albugnano,Moriondo Torinese,Capriglio,Moncucco Torinese,Passerano Marmorito;2020/03/25;1;2020/05/06;14;2020/05/18;8;2020/11/03;62;2020/11/12;131;2020/11/27;56;2020/12/12;24;2021/01/16;7;2020/11/12;131;2020/11/04;36;2020/03/25;0.32;2020/05/06;4.42;2020/05/18;2.53;2020/11/03;19.58;2020/11/12;41.36;2020/11/27;17.68;2020/12/12;7.58;2021/01/16;2.21;2020/11/12;41.36;2020/11/04;11.36;COM
Castelnuovo Nigra;Rueglio,Borgiallo,Cintano,Frassinetto,Traversella,Castellamonte,Vistrorio,Valchiusa,Val di Chy,Colleretto Castelnuovo;2020/03/25;0;2020/03/31;2;2020/05/18;2;2020/11/03;3;2020/11/13;7;2020/11/27;1;2020/12/12;1;2021/01/16;0;2020/11/13;7;2020/11/02;2;2020/03/25;0.0;2020/03/31;4.65;2020/05/18;4.65;2020/11/03;6.98;2020/11/13;16.28;2020/11/27;2.33;2020/12/12;2.33;2021/01/16;0.0;2020/11/13;16.28;2020/11/02;4.65;COM
Castelnuovo Scrivia;Alzano Scrivia,Molino dei Torti,Sale,Tortona,Guazzora,Isola Sant'Antonio,Pontecurone;2020/03/25;39;2020/04/19;74;2020/05/18;32;2020/11/03;20;2020/11/08;34;2020/11/27;18;2020/12/12;9;2021/01/16;16;2020/04/19;74;2020/04/05;11;2020/03/25;7.61;2020/04/19;14.44;2020/05/18;6.25;2020/11/03;3.9;2020/11/08;6.64;2020/11/27;3.51;2020/12/12;1.76;2021/01/16;3.12;2020/04/19;14.44;2020/04/05;2.15;COM
Castelnuovo di Ceva;Priero,Montezemolo;2020/03/25;0;2020/05/04;7;2020/05/18;6;2020/11/03;0;2020/11/04;0;2020/11/27;0;2020/12/12;0;2021/01/16;0;2020/05/04;7;2020/05/31;4;2020/03/25;0.0;2020/05/04;66.04;2020/05/18;56.6;2020/11/03;0.0;2020/11/04;0.0;2020/11/27;0.0;2020/12/12;0.0;2021/01/16;0.0;2020/05/04;66.04;2020/05/31;37.74;COM
Castelspina;Sezzadio,Predosa,Gamalero,Castellazzo Bormida;2020/03/25;1;2020/04/08;5;2020/05/18;2;2020/11/03;5;2020/11/23;10;2020/11/27;9;2020/12/12;4;2021/01/16;0;2020/11/23;10;2020/04/08;3;2020/03/25;2.38;2020/04/08;11.9;2020/05/18;4.76;2020/11/03;11.9;2020/11/23;23.81;2020/11/27;21.43;2020/12/12;9.52;2021/01/16;0.0;2020/11/23;23.81;2020/04/08;7.14;COM
Castiglione Falletto;Alba,Monforte d'Alba,Barolo,Serralunga d'Alba,La Morra;2020/03/25;0;2020/04/15;1;2020/05/18;0;2020/11/03;2;2020/11/15;9;2020/11/27;3;2020/12/12;0;2021/01/16;8;2020/11/15;9;2020/11/13;5;2020/03/25;0.0;2020/04/15;1.43;2020/05/18;0.0;2020/11/03;2.86;2020/11/15;12.88;2020/11/27;4.29;2020/12/12;0.0;2021/01/16;11.44;2020/11/15;12.88;2020/11/13;7.15;COM
Castiglione Tinella;Calosso,Coazzolo,Santo Stefano Belbo,Mango,Costigliole d'Asti,Castagnole delle Lanze;2020/03/25;0;2020/03/25;0;2020/05/18;0;2020/11/03;0;2020/11/17;8;2020/11/27;4;2020/12/12;3;2021/01/16;1;2020/06/19;11;2020/06/06;4;2020/03/25;0.0;2020/03/25;0.0;2020/05/18;0.0;2020/11/03;0.0;2020/11/17;9.65;2020/11/27;4.83;2020/12/12;3.62;2021/01/16;1.21;2020/06/19;13.27;2020/06/19;4.83;COM
Castiglione Torinese;Pavarolo,Gassino Torinese,Baldissero Torinese,San Mauro Torinese,Settimo Torinese;2020/03/25;7;2020/04/09;27;2020/05/18;4;2020/11/03;60;2020/11/18;137;2020/11/27;83;2020/12/12;47;2021/01/16;33;2020/11/18;137;2020/11/10;35;2020/03/25;1.08;2020/04/09;4.15;2020/05/18;0.62;2020/11/03;9.23;2020/11/18;21.07;2020/11/27;12.77;2020/12/12;7.23;2021/01/16;5.08;2020/11/18;21.07;2020/11/10;5.38;COM
Castino;Perletto,Trezzo Tinella,Rocchetta Belbo,Cortemilia,Bosia,Vesime,Mango,Borgomale;2020/03/25;0;2020/03/25;0;2020/05/18;0;2020/11/03;4;2020/11/16;5;2020/11/27;4;2020/12/12;0;2021/01/16;0;2020/11/16;5;2020/10/27;3;2020/03/25;0.0;2020/03/25;0.0;2020/05/18;0.0;2020/11/03;8.23;2020/11/16;10.29;2020/11/27;8.23;2020/12/12;0.0;2021/01/16;0.0;2020/11/16;10.29;2020/10/27;6.17;COM
Cavaglietto;Suno,Barengo,Fontaneto d'Agogna,Cavaglio d'Agogna,Vaprio d'Agogna;2020/03/25;0;2020/03/25;0;2020/05/18;0;2020/11/03;0;2020/12/13;7;2020/11/27;5;2020/12/12;6;2021/01/16;4;2020/12/13;7;2020/11/17;2;2020/03/25;0.0;2020/03/25;0.0;2020/05/18;0.0;2020/11/03;0.0;2020/12/13;18.28;2020/11/27;13.05;2020/12/12;15.67;2021/01/16;10.44;2020/12/13;18.28;2020/11/18;5.23;COM
Cavaglio d'Agogna;Cavaglietto,Barengo,Fara Novarese,Fontaneto d'Agogna,Ghemme,Sizzano;2020/03/25;3;2020/04/18;4;2020/05/18;2;2020/11/03;5;2020/11/23;21;2020/11/27;14;2020/12/12;3;2021/01/16;0;2020/11/23;21;2020/11/09;4;2020/03/25;2.56;2020/04/18;3.41;2020/05/18;1.71;2020/11/03;4.27;2020/11/23;17.92;2020/11/27;11.95;2020/12/12;2.56;2021/01/16;0.0;2020/11/23;17.92;2020/11/09;3.42;COM
CavagliÃ ;Alice Castello,Salussola,Carisio,SanthiÃ ,Dorzano,Roppolo;2020/03/25;5;2020/03/30;7;2020/05/18;2;2020/11/03;15;2020/11/18;42;2020/11/27;36;2020/12/12;26;2021/01/16;9;2020/11/18;42;2020/11/18;8;2020/03/25;1.38;2020/03/30;1.93;2020/05/18;0.55;2020/11/03;4.14;2020/11/18;11.58;2020/11/27;9.93;2020/12/12;7.17;2021/01/16;2.48;2020/11/18;11.58;2020/11/18;2.2;COM
Cavagnolo;Lauriano,Moransengo,Monteu da Po,Tonengo,Brusasco;2020/03/25;5;2020/05/04;13;2020/05/18;8;2020/11/03;20;2020/11/11;37;2020/11/27;20;2020/12/12;9;2021/01/16;7;2020/11/11;37;2020/11/02;6;2020/03/25;2.43;2020/05/04;6.31;2020/05/18;3.89;2020/11/03;9.71;2020/11/11;17.97;2020/11/27;9.71;2020/12/12;4.37;2021/01/16;3.4;2020/11/11;17.97;2020/11/05;2.92;COM
Cavallerleone;Ruffia,Murello,Racconigi,Cavallermaggiore;2020/03/25;0;2020/04/19;5;2020/05/18;4;2020/11/03;8;2020/11/07;10;2020/11/27;8;2020/12/12;1;2021/01/16;2;2020/11/07;10;2020/04/19;2;2020/03/25;0.0;2020/04/19;7.29;2020/05/18;5.83;2020/11/03;11.66;2020/11/07;14.58;2020/11/27;11.66;2020/12/12;1.46;2021/01/16;2.92;2020/11/07;14.58;2020/04/19;2.92;COM
Cavallermaggiore;Marene,Cherasco,Bra,Savigliano,Sommariva del Bosco,SanfrÃ¨,Monasterolo di Savigliano,Racconigi,Ruffia,Cavallerleone;2020/03/25;1;2020/04/18;66;2020/05/18;19;2020/11/03;44;2020/11/29;68;2020/11/27;65;2020/12/12;39;2021/01/16;17;2020/11/29;68;2020/04/09;28;2020/03/25;0.18;2020/04/18;12.15;2020/05/18;3.5;2020/11/03;8.1;2020/11/29;12.52;2020/11/27;11.97;2020/12/12;7.18;2021/01/16;3.13;2020/11/29;12.52;2020/04/09;5.15;COM
Cavallirio;Romagnano Sesia,Boca,Cureggio,Fontaneto d'Agogna,Prato Sesia;2020/03/25;8;2020/04/13;18;2020/05/18;3;2020/11/03;2;2020/11/19;9;2020/11/27;5;2020/12/12;1;2021/01/16;4;2020/04/13;18;2020/04/11;2;2020/03/25;5.96;2020/04/13;13.4;2020/05/18;2.23;2020/11/03;1.49;2020/11/19;6.7;2020/11/27;3.72;2020/12/12;0.74;2021/01/16;2.98;2020/04/13;13.4;2020/04/11;1.49;COM
Cavatore;Grognardo,Cartosio,Melazzo,Ponzone,Acqui Terme;2020/03/25;0;2020/03/25;0;2020/05/18;0;2020/11/03;0;2020/11/16;6;2020/11/27;5;2020/12/12;1;2021/01/16;0;2020/11/16;6;2020/11/16;2;2020/03/25;0.0;2020/03/25;0.0;2020/05/18;0.0;2020/11/03;0.0;2020/11/16;22.3;2020/11/27;18.59;2020/12/12;3.72;2021/01/16;0.0;2020/11/16;22.3;2020/11/16;7.43;COM
Cavour;Bibiana,Bagnolo Piemonte,Bricherasio,Campiglione Fenile,Barge,Vigone,Macello,Villafranca Piemonte,Garzigliana;2020/03/25;2;2020/04/27;75;2020/05/18;30;2020/11/03;22;2020/11/23;86;2020/11/27;74;2020/12/12;47;2021/01/16;27;2020/11/23;86;2020/04/16;26;2020/03/25;0.36;2020/04/27;13.66;2020/05/18;5.46;2020/11/03;4.01;2020/11/23;15.66;2020/11/27;13.47;2020/12/12;8.56;2021/01/16;4.92;2020/11/23;15.66;2020/04/16;4.73;COM
